Occupation - unit group,Gender,Taxable income range - tax brackets,Number of individuals,"Taxable income or loss 
no.","Taxable income or loss 
$","Tax on taxable income 
no.","Tax on taxable income 
$","Medicare levy 
no.","Medicare levy 
$","Medicare levy surcharge 
no.","Medicare levy surcharge 
$","Total Medicare levy liability 
no.","Total Medicare levy liability 
$","Net tax 
no.","Net tax 
$","HELP assessment debt 
no.","HELP assessment debt 
$","Salary or wages 
no.","Salary or wages 
$","Tax withheld from salary or wages 
no.","Tax withheld from salary or wages 
$","Allowances earnings tips directors fees etc 
no.","Allowances earnings tips directors fees etc 
$","Employer lump sum payments amount A 
no.","Employer lump sum payments amount A 
$","Employment termination payments taxable component 
no.","Employment termination payments taxable component 
$","Australian government allowances and payments 
no.","Australian government allowances and payments 
$","Australian government pensions and allowances 
no.","Australian government pensions and allowances 
$","Australian annuities and superannuation income streams taxable component taxed element 
no.","Australian annuities and superannuation income streams taxable component taxed element 
$","Australian annuities and superannuation income streams taxable component untaxed element 
no.","Australian annuities and superannuation income streams taxable component untaxed element 
$","Gross interest 
no.","Gross interest 
$","Dividends unfranked 
no.","Dividends unfranked 
$","Dividends franked 
no.","Dividends franked 
$","Dividends franking credit 
no.","Dividends franking credit 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Total work related expenses 
no.","Total work related expenses 
$","Low value pool deduction 
no.","Low value pool deduction 
$","Interest deductions 
no.","Interest deductions 
$","Dividend deductions 
no.","Dividend deductions 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Total reportable fringe benefits amount 
no.","Total reportable fringe benefits amount 
$","Reportable employer superannuation contributions 
no.","Reportable employer superannuation contributions 
$","P&T net primary production amount 
no.","P&T net primary production amount 
$","P&T net non-primary production amount 
no.","P&T net non-primary production amount 
$","Share of franking credit from franked dividends 
no.","Share of franking credit from franked dividends 
$","Net PSI transferred 
no.","Net PSI transferred 
$","Deferred non-commercial business losses primary production deferred losses 
no.","Deferred non-commercial business losses primary production deferred losses 
$","Deferred non-commercial business losses non primary production deferred losses 
no.","Deferred non-commercial business losses non primary production deferred losses 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Estimated tax on net capital gains 
no.","Estimated tax on net capital gains 
$","Capital gains total current year capital gains 
no.","Capital gains total current year capital gains 
$","Capital gains net capital losses carried forward 
no.","Capital gains net capital losses carried forward 
$","Foreign source income assessable foreign source income 
no.","Foreign source income assessable foreign source income 
$","Foreign source income other net foreign source income 
no.","Foreign source income other net foreign source income 
$","Foreign source income foreign income tax offset 
no.","Foreign source income foreign income tax offset 
$","Gross rent 
no.","Gross rent 
$","Rent interest deductions 
no.","Rent interest deductions 
$","Rent capital works deductions 
no.","Rent capital works deductions 
$","Rent other rental deductions 
no.","Rent other rental deductions 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Other income category 1 
no.","Other income category 1 
$","Other income category 2 
no.","Other income category 2 
$","Personal superannuation contributions 
no.","Personal superannuation contributions 
$","Other deductions 
no.","Other deductions 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Estimated business net tax 
no.","Estimated business net tax 
$","Australian superannuation income stream tax offset 
no.","Australian superannuation income stream tax offset 
$","Small business income tax offset 
no.","Small business income tax offset 
$","Low income tax offset 
no.","Low income tax offset 
$","Employment termination payment tax offset 
no.","Employment termination payment tax offset 
$","HELP debt balance 
no.","HELP debt balance 
$","SFSS debt balance 
no.","SFSS debt balance 
$","TSL debt balance 
no.","TSL debt balance 
$","People with private health insurance 
no.","Private health insurance - your Australian Government rebate received 
no.","Private health insurance - your Australian Government rebate received 
$","Private health insurance rebate 
no.","Private health insurance rebate 
$","Excess private health reduction or refund (rebate reduced) 
no.","Excess private health reduction or refund (rebate reduced) 
$"
"1499 Other Hospitality, Retail and Service Managers",Male,"b. $18,201 to $37,000",976,976,27286721,976,1873004.41,621,324460.09,0,0,620,324413.77,784,1671574.53,2,3788,937,25058554,885,4394697.59,198,752084,21,195163,38,217072,141,814231,53,534448,7,44398,3,39187,542,355801,71,18926,244,419866,244,179888,976,29341289,278,633023,80,72552,511,135690,38,94952,477,369583,683,1305800,22,12998,28,63321,29,86395,262,80928,416,172068,774,1927020,49,1107544,130,1540098,14,-300041,99,786182,28,19790.63,12,84225,2,39986,15,182782,41,232076,29,12574.05,57,677300,86,1787777,33,85696,24,16237,22,4088.46,162,2866163,143,1927073,83,273853,162,1462444,54,289736,109,-1086943,163,-797207,10,39010,4,56546,3,83530,52,121554,132,22386510,128,22102638,135,163730,75,53404.08,9,7063.39,64,3051.01,914,378480.71,13,6673.62,169,3789346.61,4,51295,0,0,555,461,307994,62,23593.39,39,5290.89
"1499 Other Hospitality, Retail and Service Managers",Male,"c. $37,001 to $80,000",5590,5590,346587830,5590,65507731.87,5461,6711999.84,35,24193.8,5459,6734426.56,5586,70972160.66,421,1378060.77,5547,354431928,5520,82326998.04,1172,3027792,151,1767711,207,1322009,117,374062,53,341636,78,1157590,34,887380,3133,1538498,355,129644,1693,2713435,1690,1161329,5590,366387058,2896,8167401,1013,997225,4210,1345400,329,819085,4194,4580696,5095,15909807,139,84590,120,183646,127,512094,2639,863527,3276,944013,5297,19556749,442,8702082,1105,9701763,45,-495725,379,2990122,148,180168.2,46,707449,4,19732,79,691958,234,1127749,234,226049.39,322,3234731,396,7222568,170,527945,145,135448,139,65360.07,1108,20214342,1057,15912873,597,2056002,1120,11579143,191,1049114,933,-10377831,1126,-9328717,64,303225,39,80205,5,83154,526,966870,285,10997487,283,10655804,309,-127590,187,401191.28,89,213740.75,185,24190.83,3227,630993.74,332,210765.95,679,14410665,45,396933,4,20610.02,3458,3130,1924831,374,121059.64,360,74008.28
"1499 Other Hospitality, Retail and Service Managers",Male,"d. $80,001 to $180,000",10709,10709,1247074234,10708,332354275.5,10641,24729474.39,372,411190.99,10645,25139431.85,10707,355122125.6,478,2994619.24,10698,1238947296,10691,366651613.4,2343,9234773,251,5521509,355,5913450,23,47248,6,43123,203,3762547,89,2153628,6303,4183047,1225,487503,6798,17290451,6790,7406079,10709,1295500598,5377,18096400,2333,2220284,6627,1859513,484,1702682,8608,10025946,10004,33904825,444,221184,405,1246272,882,3460299,6288,2448532,6381,2319359,10381,47158538,1563,22909346,3556,28151465,69,-717673,1202,5866163,714,1027640.06,17,399874,20,370164,81,957422,960,5862825,960,1711669.12,1378,14797718,1551,28984256,689,1686324,660,478756,627,213790.84,2875,53286357,2772,39017049,1535,5218582,2913,28766754,574,2769452,2352,-22485480,2926,-19716028,154,427814,113,289185,5,149000,1984,3385146,254,14613787,267,14586378,285,-714333,145,525223,222,627873,128,24025.71,0,0,500,1297590.91,519,8900880,17,212637,1,2976,9385,8446,5598698,1113,442918.23,3527,1201142.73
"1499 Other Hospitality, Retail and Service Managers",Male,"e. $180,000 or more",2806,2806,913413276,2806,336868002.5,2765,17861883.23,68,200815.93,2763,18044960.34,2804,354360668.9,27,198867.33,2799,755259035,2794,294389473.4,316,2044373,189,10913377,224,23104666,1,6197,0,0,62,1845449,12,325601,1797,3349287,620,1854830,2302,23795843,2302,10197374,2806,934013355,1007,3790196,593,854478,864,249663,108,272726,2277,3445588,2493,8612651,158,107995,171,1086331,503,3851396,1969,1927443,1945,2093116,2739,20412887,563,11332528,1358,13048825,16,638233,605,6298616,365,1299967.28,14,386585,15,632819,32,737253,470,10763205,469,4300000.51,708,29117083,759,26872470,462,5328201,429,1772107,399,1821948.85,977,25667997,923,19222258,575,2317926,986,13517676,227,2158924,761,-11548787,989,-9389863,135,911137,61,228158,0,0,805,2698280,47,4786526,57,4225680,68,-257181,22,313991.08,65,288771,16,8248.5,0,0,233,6375998.17,34,327112,0,0,0,0,2747,1911,1360462,157,51091.87,1742,1074726.96
"2111 Actors, Dancers and Other Entertainers",Female,"a. $18,200 or less",1933,1906,16094971,50,55350.03,1,17.61,0,0,1,17.61,49,54699.88,0,0,1883,11833959,1546,1512391.14,209,198042,1,1532,4,827,371,2527908,69,535750,6,12925,1,6549,1187,767948,49,14655,194,178027,194,76102,1929,18169760,135,166062,118,184564,206,71027,54,95285,544,794296,632,1311234,13,2844,19,8994,12,17604,199,90736,430,132678,853,1606449,9,210693,22,48353,4,-59653,136,21892,61,67245.92,63,210486,1,5000,100,884915,47,229533,0,0,59,662659,51,3009395,82,155237,66,45418,60,5074.8,137,2114467,108,935103,51,190533,137,1018762,68,368742,70,-398673,138,-29931,34,82035,37,91292,0,0,24,35894,495,7365303,445,6217967,503,419581,1,134.02,0,0,0,0,3,592.09,0,0,653,12422933.66,43,556694,0,0,1014,603,360248,45,7696.04,53,15025.59
"2111 Actors, Dancers and Other Entertainers",Female,"b. $18,201 to $37,000",1883,1883,48901495,1791,2686144.77,1107,538298.36,2,246.03,1099,535162.93,1257,2212123.08,2,4585.24,1844,34187249,1719,5214147.55,358,965084,7,26784,17,19010,404,2460993,198,3068304,8,165804,11,170166,1348,1004936,57,44169,214,397461,214,169756,1883,53713466,449,774475,400,516122,592,253206,115,209397,1093,2356284,1242,4109484,21,3927,30,20188,10,20830,520,146190,835,268615,1486,4773779,33,770427,37,139311,3,25830,180,1602364,62,93716.23,91,642020,1,300,92,819036,58,214594,33,11327.7,71,540317,68,1791530,107,592479,75,218658,68,25211.67,154,2688503,109,909095,60,86104,153,1148693,97,799470,56,-254859,154,544611,46,173726,34,172912,12,121950,26,62977,867,16526394,828,9860400,883,6061502,489,326279,11,14000.87,319,13055.48,1567,623485.89,5,5701.79,772,14916472.28,46,574746.74,1,1333.34,1043,809,453283,85,22680.49,67,13979.38
"2111 Actors, Dancers and Other Entertainers",Female,"c. $37,001 to $80,000",1282,1282,67493998,1250,10681087.38,1239,1294162.54,7,4835.21,1231,1288277.39,1273,11391337.07,123,357756.79,1270,54313587,1239,11980137.4,350,1404818,1,1779,6,11930,51,189871,31,344851,12,250741,7,195370,987,1029979,54,49393,213,1178330,212,504939,1282,75241137,411,837153,467,1411690,464,249107,92,160624,985,3686465,1056,6345039,24,8547,36,7773,14,23696,469,539754,748,343068,1166,7663210,26,478913,55,407366,3,-21901,205,5270412,82,476071.91,42,520358,0,0,72,399275,64,536233,64,105279.05,78,1231586,67,1174854,119,1474422,89,575313,98,176425.45,173,3549387,141,1403962,65,166013,174,1516177,85,939017,90,-475782,175,463235,63,244374,36,226973,16,279521,38,103453,551,14165988,514,7208665,566,6717486,472,1131637.16,15,51050.21,340,47516.6,1035,280995.77,10,8265.37,432,8518345,29,365335.43,0,0,868,724,398792,87,26212.61,88,18653.16
"2111 Actors, Dancers and Other Entertainers",Female,"d. $80,001 to $180,000",338,338,37035297,338,9299957.27,329,718255.9,32,41844.69,330,757925.13,335,9667460.69,52,315566.31,332,25475954,317,7517413,79,689050,1,19910,2,22773,3,9970,5,33798,10,253038,1,46164,274,473084,29,48527,81,1517043,81,650137,338,40700145,123,316210,131,400777,83,56181,16,45157,255,2093448,273,2911773,6,3441,7,341,7,110735,154,93052,209,136930,314,3664478,10,139603,34,372161,4,106441,99,5885283,50,704608.67,9,174690,0,0,23,129939,33,532336,33,151938.75,38,1692674,21,500255,47,975852,37,528581,48,234750.82,88,2281137,72,885706,34,125659,89,935759,53,673310,37,-339297,90,334013,22,259507,24,388745,14,340632,15,67520,104,4254303,98,1777957,111,2386111,77,707158.27,10,37954,60,28991.74,0,0,7,88456.12,55,904897.18,7,99831.78,0,0,285,249,163471,21,5341.29,154,67715.36
"2111 Actors, Dancers and Other Entertainers",Female,"e. $180,000 or more",72,72,33568564,72,13111251.21,71,666947.1,10,47628.39,71,714575.49,72,11558902.71,4,47998.93,67,11332906,63,4670446.52,15,135284,0,0,0,0,1,3332,1,11857,0,0,0,0,56,368507,11,240893,23,1133232,23,485712,72,35879687,20,69523,19,122908,12,4086,2,3205,48,1424614,54,1624336,0,0,3,1226,1,5582,34,201054,41,114497,65,2158519,2,16286,10,110889,0,0,31,6340577,24,1376406.26,1,12170,0,0,6,46561,19,2790137,19,1174040.98,20,6626519,5,606814,27,10370489,23,4928267,21,2541198.66,27,1074078,20,618580,13,66029,27,612807,13,171964,14,-395302,27,-223338,11,125466,9,542068,6,189826,5,21998,22,2276992,20,579240,22,1664809,15,653887.14,0,0,7,5961.29,0,0,1,124956.36,4,53457.08,1,8927,0,0,67,48,32274,1,287.36,47,30985.53
"2111 Actors, Dancers and Other Entertainers",Male,"a. $18,200 or less",1801,1779,15008605,57,76760.8,0,0,0,0,0,0,54,75821.83,0,0,1738,10365333,1485,1531892.82,242,325471,3,14158,6,3792,308,2549049,100,810531,9,59745,4,26175,936,560404,75,25729,203,256822,201,110114,1794,17135906,99,169008,124,182012,156,45943,36,105912,509,759321,613,1262196,15,9720,15,3956,14,17801,138,93070,399,185355,813,1940169,2,1026,25,44880,2,-1113,132,38665,39,29517.17,52,191380,0,0,70,1037117,37,149732,1,400.32,51,328546,81,3321908,66,304387,41,60403,43,10997.02,136,2403579,103,1191080,53,150584,136,1099698,69,392137,67,-429920,136,-37783,38,108650,22,54106,8,180279,20,126322,357,7745350,323,6863850,365,195114,3,3108.44,0,0,2,153,3,786.02,0,0,479,10028391,32,427605.89,0,0,841,478,322028,53,14233.33,29,5117.9
"2111 Actors, Dancers and Other Entertainers",Male,"b. $18,201 to $37,000",1740,1740,45566002,1684,2578430.87,1074,506872.8,0,0,1066,502455.81,1237,2133698.55,2,5639.92,1710,31809676,1605,5228981.73,366,764059,11,20956,13,15837,367,2335937,172,2577949,9,96037,20,368313,1085,778108,75,26741,225,499503,224,213259,1740,49977919,367,788465,312,492977,562,185812,83,119369,1007,2147658,1157,3734281,22,6396,31,11461,9,8315,392,126414,796,305756,1369,4362646,21,420033,37,116426,3,29498,177,1489845,59,68521.42,81,512682,0,0,55,454249,68,170584,42,7702.77,84,543867,79,1020853,117,764732,73,150630,81,40584.42,131,2663389,101,1029144,39,94021,131,1249896,68,682674,62,-392346,131,290328,52,150150,37,245158,9,108320,40,53363,648,17419239,611,10843071,662,6304351,416,336869.42,16,21509.69,304,15435.15,1467,594651.17,5,2497.31,559,12014498.49,45,762737.96,0,0,808,661,384024,61,16533.46,30,2079.76
"2111 Actors, Dancers and Other Entertainers",Male,"c. $37,001 to $80,000",1587,1587,84245315,1559,13486963.8,1539,1615516.66,2,778.4,1533,1609269.96,1576,14298159.3,123,370790.31,1558,65465104,1509,14718386.67,465,1939489,8,61573,12,41500,86,387138,27,267130,25,580875,32,1261907,1085,1178606,82,45277,240,1292749,240,552468,1587,93618250,494,1225468,540,1497428,569,236872,90,181959,1168,4714798,1264,7856525,40,9483,47,66583,24,118036,512,187603,949,508087,1433,9344242,28,589100,90,640867,7,-62127,233,5865802,77,378052.43,43,488585,2,23130,81,833895,69,455498,68,78685.44,86,1329553,92,2785192,133,1069051,107,593953,111,148073.96,210,4392697,172,1949182,74,199421,209,1910621,110,1005132,101,-671659,211,333473,83,256969,60,580270,24,411320,66,183735,688,26317644,653,15425342,697,10381899,588,1842757.12,38,161539.53,444,78506,1286,342766.01,28,45455.18,405,7764471.17,39,601516.2,0,0,930,807,456859,94,26818.87,75,14815.61
"2111 Actors, Dancers and Other Entertainers",Male,"d. $80,001 to $180,000",498,498,55844703,497,14282266.16,489,1090047.57,67,81638.38,484,1154871.78,493,14852465.16,51,328415.48,480,37834512,457,11115205,161,1363261,0,0,0,0,4,4166,3,18244,7,184018,5,244762,351,528370,42,43844,125,2114362,124,906076,498,61526121,200,595122,175,684853,127,67627,13,34226,378,3102535,407,4484363,16,7758,12,89451,13,49064,174,186435,310,276932,459,5559989,5,145945,40,425569,5,259125,106,6281772,42,538769.86,13,405364,0,0,31,358699,22,1025443,22,295373.12,40,2644156,52,2549550,87,2447026,64,1151713,77,432802.43,103,2497766,88,1142634,48,155650,104,1013485,51,725364,52,-539367,104,185997,61,459150,35,541526,20,383986,30,81000,213,12371602,197,6012030,221,6072146,179,1657481.22,5,30429,151,72651,0,0,5,76669.77,53,843287,9,51063.28,0,0,375,325,189128,37,11557.02,180,66184.08
"2111 Actors, Dancers and Other Entertainers",Male,"e. $180,000 or more",126,126,53199813,126,20452746.99,124,1045684.42,18,63127.65,123,1102317.72,125,18268802.9,5,44032.04,123,22464698,116,8888238.42,41,454349,1,91893,1,34789,1,156,0,0,2,10258,0,0,95,194975,11,47499,47,5868863,47,2515215,126,55635494,37,145063,40,225096,18,7323,2,11520,94,1304260,99,1693262,1,2,6,24123,5,36780,54,108135,77,269685,120,2435681,2,12236,25,361425,0,0,43,6101217,21,918130.6,6,49162,1,2303892,2,1545,13,814312,13,302343.12,24,4904246,18,597303,43,13487209,33,3014630,36,3706851.5,33,1269981,31,835302,14,54727,34,592022,13,187856,21,-399926,34,-212070,13,718938,18,996623,6,174792,15,128902,33,3189396,30,1372230,34,-250315,29,722974.17,1,832,27,17513.75,0,0,4,132958.64,5,66990,0,0,0,0,111,75,58494,0,0,74,53971.5
2112 Music Professionals,Female,All,2031,2024,95769215,1574,17788017.9,1341,1657668.94,16,13562.57,1340,1662232.24,1448,18669607.57,112,451456.34,1996,75888059,1829,18005267.76,531,1153848,11,67440,4,72378,155,944769,62,687646,27,260601,33,687470,1431,1701222,130,91849,386,2098257,386,899085,2029,103904568,670,1376777,522,1059315,474,182674,71,186223,1271,3662915,1367,6467904,70,24857,46,94769,38,48704,765,521595,1001,445289,1596,8035604,60,1270981,226,2200659,2,-36429,294,5095008,133,514192.85,80,668411,2,15467,92,719951,126,1590265,108,520357.62,158,3641182,139,2371728,191,1448694,157,1056181,148,233591.47,304,5955588,243,2652903,131,346211,307,2728173,154,1273002,156,-1044701,312,228301,102,313018,94,431104,14,272300,61,158564,999,19477092,893,10505148,1012,8469069,663,1242438.09,49,83962.57,412,41782.67,1011,330694.67,14,26165.37,746,15375990,28,363805,0,0,1468,1248,816320,94,31274.99,291,106089.14
2112 Music Professionals,Male,"a. $18,200 or less",604,594,5883149,26,56252.24,0,0,0,0,0,0,26,56236.13,0,0,557,4242913,425,615397,76,266065,6,33216,2,1556,107,691056,20,150231,1,4553,3,36620,342,179438,17,1990,66,64297,66,27346,598,6754790,53,110883,50,200167,47,12441,14,49985,157,259031,196,632507,7,3081,3,3998,2,2734,59,40693,151,55402,276,745404,1,31174,11,30835,2,-10875,38,15188,11,6117.1,22,131484,1,5540,23,233292,10,14481,0,0,12,59001,22,398511,23,49803,21,-5148,16,1621.33,43,519713,35,299059,11,19563,44,243515,19,71084,25,-113508,44,-42424,22,103185,17,54628,0,0,3,6989,234,5376255,204,4632996,235,493470,2,320.22,0,0,2,16.11,0,0,0,0,284,6376279.6,6,39331,0,0,288,189,111950,25,5877.05,10,1728.49
2112 Music Professionals,Male,"b. $18,201 to $37,000",827,827,22127791,800,1341032.92,517,257436.13,1,132.19,516,256971.66,615,1175001.63,3,8075.76,794,15099344,699,2285474,140,655179,5,29230,3,3854,104,611538,49,579833,4,8234,11,263282,522,349297,45,10221,126,243168,126,104115,827,24113863,170,407593,120,255588,176,45798,28,39554,403,755286,481,1503819,15,4493,10,2971,11,4579,220,131694,330,147933,614,1919925,11,253043,33,287135,2,9445,108,846838,35,31412.3,29,214779,0,0,33,186410,29,76802,19,5537.66,36,160370,43,1441705,61,200796,54,123037,47,9567.01,77,1503817,63,818649,29,91973,78,667274,39,245150,39,-319229,78,-74079,24,72561,26,171962,6,78024,16,46412,466,11758514,432,7128356,468,4417180,306,254822.01,8,8832.93,211,10082.86,738,301570.5,1,25.57,363,8776969.66,26,415005.9,0,0,430,358,219008,39,11133.36,21,2599.23
2112 Music Professionals,Male,"c. $37,001 to $80,000",1191,1191,66984448,1176,11608267.54,1099,1210799.12,4,1586.62,1097,1208269.37,1187,12362933.2,147,432802.08,1165,55868647,1127,12588856.92,318,1146718,2,22058,5,80603,19,72278,14,85517,8,86330,18,667460,757,749506,71,34547,211,674577,210,284125,1191,72484110,440,1186297,324,696802,393,123248,49,109946,844,2336217,928,4452510,46,18066,14,58124,16,72070,417,242171,692,315862,1058,5479144,44,703560,129,1169025,3,35993,159,2237332,55,223299.99,30,269371,0,0,81,658974,59,369166,59,75130.87,73,1346612,89,1584918,100,739936,90,501651,91,74834.97,168,3091382,140,1684030,65,130773,169,1423687,76,542962,93,-690070,169,-147108,54,243559,58,350237,13,220300,43,99211,625,17899666,585,9551330,623,7965608,503,1472363.27,22,70957.51,367,57294.76,847,205958.52,12,10616.9,369,8039436.02,31,364703.2,1,666.67,708,631,370174,66,21918.82,65,13433.68
2112 Music Professionals,Male,"d. $80,001 to $180,000",670,670,70457340,670,17608824.17,651,1366420.54,42,56496.76,652,1422917.3,669,18732695.61,49,291798.16,662,59451355,647,16544550,306,950971,8,192091,4,72878,0,0,0,0,18,195410,23,794094,411,831186,79,77672,195,1946580,194,834201,670,75670274,320,981132,271,801173,225,72352,14,14941,562,2358315,595,4227913,53,31348,22,65953,25,54361,315,291581,460,294784,627,5211431,57,1064491,172,1749870,2,-23535,127,2994138,46,462132.36,9,76218,1,18369,33,300509,44,669761,44,193148.43,66,1748680,91,1641771,107,1078569,93,538875,86,92317.92,122,2987194,104,1550738,61,187888,122,1404215,56,414218,66,-569865,122,-155647,57,344855,37,310173,6,126430,47,116111,323,11678421,272,6691358,324,4679974,271,1332681.18,28,71817,174,46829.33,0,0,17,70529.17,54,807569.96,4,57169.17,0,0,541,489,335703,54,14697.44,213,81605.46
2112 Music Professionals,Male,"e. $180,000 or more",82,82,101474651,82,43427082.91,80,2014657.62,11,648989.33,80,2663646.95,82,36692920.62,2,14361.53,75,15565709,74,6008888.82,22,158915,3,98769,2,265971,0,0,0,0,1,3859,3,341651,53,361618,9,43095,37,2055389,37,880866,82,102675967,28,79032,32,162795,14,6379,1,120,51,254546,57,502872,4,6855,2,1305,2,4744,31,247534,57,346290,74,1201316,11,186532,21,340795,0,0,31,2713636,14,686786.89,2,113959,0,0,3,57692,15,1425697,15,531033.47,17,2639002,8,139724,39,64843423,36,15579002,33,10933227.05,29,711033,25,282410,10,26006,29,304752,20,224494,9,-126629,29,97865,13,10750085,17,500445,2,67000,8,23390,32,3179144,28,1208747,33,1960385,29,818624.68,3,34012,23,13279.93,0,0,3,139888.16,3,14719.17,0,0,0,0,72,53,34955,5,1675.42,50,31677.77
2113 Photographers,Female,All,2589,2583,90840372,1912,12576792.65,1568,1457012.83,7,5575.27,1567,1461558.76,1708,13209967.54,104,346376.04,2529,72854192,2348,13422016.32,687,2104725,43,311437,15,103590,327,2022204,77,954019,10,96504,6,101626,1661,958302,70,22134,285,1290424,284,552961,2588,96221810,770,1978823,307,331754,970,239183,73,107923,1340,1630247,1615,4287930,36,20383,36,20601,13,65892,671,235792,1007,287026,1858,5264114,36,612412,126,768541,18,-132602,268,5949643,80,498381.38,47,366982,7,28077,205,1570998,64,463199,44,91529.99,77,2396718,85,1548879,62,203820,54,85060,55,24363.19,235,3897662,204,2069695,86,212206,239,1714528,87,647090,152,-745857,241,-98767,55,51909,16,52492,15,230056,63,116434,843,19096059,819,12004017,869,5847799,415,993624.92,9,14281.15,327,48616.78,1579,549021.29,34,62677.99,859,15560982.54,35,392245,0,0,1430,1181,647003,120,31227.83,166,43811.74
2113 Photographers,Male,All,2890,2880,151298194,2468,28703091.53,2194,2739008.36,31,33588.3,2194,2772596.66,2320,30529409.63,94,300606.84,2782,123199439,2576,28023320.43,746,4607304,87,1295304,46,1325112,187,1121976,40,379139,31,424854,21,596614,1758,1193775,205,78191,570,3660151,569,1568318,2889,160618873,923,3326419,372,468929,934,222242,47,97860,1705,2946218,1974,7061668,94,39353,55,54050,30,65340,659,438633,1273,571086,2250,9045077,73,944096,295,2535676,8,-116668,344,6006117,115,375394.4,55,445342,7,37818,211,1949585,100,1652206,91,531990.32,137,5556599,194,4185563,108,220438,91,20468,81,13854.33,364,6838328,316,3591130,138,358342,365,2908466,173,1370695,195,-1390305,371,-19610,87,445679,26,180365,19,221732,181,591557,892,29990271,860,18418899,919,10032215,523,2201149.06,28,73611.71,441,89794.31,1611,496826.65,80,225048.51,545,10812717.88,45,509790,0,0,1797,1569,916159,159,51412.37,286,85428.75
2114 Visual Arts and Crafts Professionals,Female,All,1222,1214,42229543,857,5955156.88,651,641834.35,11,13822.53,651,655656.88,726,6193631.21,49,163403.28,1183,34014504,1040,6744041,138,335820,6,38442,3,10349,174,1100570,61,778854,16,154420,6,86423,819,1028414,62,37877,192,985248,192,422186,1221,45306676,306,566987,201,267938,343,104471,43,89204,586,902915,712,1931515,23,6887,17,20113,2,8081,367,390217,558,203294,886,2787077,26,628438,77,810459,5,91168,142,2131674,56,219706.78,19,59689,1,195,133,2272682,49,768869,30,241450.11,62,1837958,65,1697750,59,600428,50,460391,44,9026.5,120,2174689,82,776009,38,95811,119,913478,71,687642,49,-298251,120,389391,22,41385,18,47616,9,159731,30,62576,498,10211633,512,8545740,543,-379865,181,411740.79,10,17981.39,134,21952.21,681,234940,7,34203.16,445,8897157.98,69,1203921.48,1,4019.02,623,528,312383,50,10806.46,88,30621.27
2114 Visual Arts and Crafts Professionals,Male,"a. $18,200 or less",244,242,2429123,4,5778.11,0,0,0,0,0,0,3,4755.49,0,0,232,2119391,197,328508,22,30705,0,0,1,1686,40,285496,11,83817,0,0,1,16313,119,73045,9,449,17,11184,17,4789,243,2690651,19,37548,11,6398,32,6862,3,1243,49,31026,70,83077,4,60,0,0,0,0,23,82997,55,27105,108,251011,0,0,8,18734,0,0,9,-40115,3,341.02,9,44080,0,0,22,451341,5,25623,0,0,6,51739,11,739910,7,14299,6,12170,2,47.77,12,165826,9,57431,5,22858,11,86138,8,27124,4,-27725,12,-601,1,1510,3,24779,1,21000,7,36772,83,1548940,81,1567689,85,-460785,0,0,0,0,0,0,3,1022.62,0,0,83,1646216.61,11,259555,0,0,77,65,36756,3,146.19,3,733.44
2114 Visual Arts and Crafts Professionals,Male,"b. $18,201 to $37,000",340,340,8992340,328,538286.52,193,93262.9,1,1.25,192,92681.63,244,444438.44,0,0,326,7248044,293,1141633,39,164174,6,13834,4,10142,57,369665,23,278405,3,13185,3,30925,195,174920,11,9096,33,136466,33,58531,340,9711473,67,120778,25,62354,97,28499,8,31328,162,216425,193,459384,8,22745,6,6589,4,7759,80,98212,156,62616,249,688855,4,85316,11,30200,3,-6503,26,152673,9,6547.99,6,68393,0,0,18,353545,7,29791,5,804.2,9,51017,12,129405,14,84864,10,38340,9,4117.1,18,327360,10,151038,7,40302,18,112748,10,97173,8,-73901,18,23272,3,13461,2,6600,1,20000,3,11550,139,3007809,138,2213028,145,457813,66,53019.08,4,3115,39,1683.99,297,120931.4,1,8.2,116,2326686.05,20,373242,2,11656,102,84,49554,8,1195.16,4,255.44
